date,nb_total_addr
09/01/2009,14
10/01/2009,75
11/01/2009,168
12/01/2009,269
13/01/2009,392
14/01/2009,522
15/01/2009,654
16/01/2009,764
17/01/2009,873
18/01/2009,981
19/01/2009,1097
20/01/2009,1212
21/01/2009,1315
22/01/2009,1406
23/01/2009,1491
24/01/2009,1693
25/01/2009,1885
26/01/2009,1981
27/01/2009,2079
28/01/2009,2191
29/01/2009,2312
30/01/2009,2429
31/01/2009,2568
01/02/2009,2682
02/02/2009,2811
03/02/2009,2960
04/02/2009,3079
05/02/2009,3205
06/02/2009,3327
07/02/2009,3460
08/02/2009,3593
09/02/2009,3727
10/02/2009,3847
11/02/2009,3982
12/02/2009,4101
13/02/2009,4225
14/02/2009,4361
15/02/2009,4492
16/02/2009,4614
17/02/2009,4731
18/02/2009,4849
19/02/2009,4973
20/02/2009,5095
21/02/2009,5209
22/02/2009,5334
23/02/2009,5442
24/02/2009,5548
25/02/2009,5653
26/02/2009,5760
27/02/2009,5875
28/02/2009,5974
01/03/2009,6079
02/03/2009,6187
03/03/2009,6292
04/03/2009,6396
05/03/2009,6508
06/03/2009,6625
07/03/2009,6734
08/03/2009,6851
09/03/2009,6959
10/03/2009,7066
11/03/2009,7180
12/03/2009,7299
13/03/2009,7412
14/03/2009,7522
15/03/2009,7645
16/03/2009,7766
17/03/2009,7880
18/03/2009,7994
19/03/2009,8116
20/03/2009,8234
21/03/2009,8284
22/03/2009,8403
23/03/2009,8533
24/03/2009,8638
25/03/2009,8755
26/03/2009,8872
27/03/2009,8978
28/03/2009,9097
29/03/2009,9213
30/03/2009,9333
31/03/2009,9443
01/04/2009,9557
02/04/2009,9672
03/04/2009,9788
04/04/2009,9901
05/04/2009,10031
06/04/2009,10140
07/04/2009,10240
08/04/2009,10345
09/04/2009,10444
10/04/2009,10552
11/04/2009,10673
12/04/2009,10792
13/04/2009,10908
14/04/2009,11032
15/04/2009,11145
16/04/2009,11268
17/04/2009,11380
18/04/2009,11508
19/04/2009,11627
20/04/2009,11747
21/04/2009,11871
22/04/2009,11992
23/04/2009,12067
24/04/2009,12182
25/04/2009,12300
26/04/2009,12412
27/04/2009,12516
28/04/2009,12633
29/04/2009,12761
30/04/2009,12892
01/05/2009,13013
02/05/2009,13141
03/05/2009,13250
04/05/2009,13378
05/05/2009,13513
06/05/2009,13648
07/05/2009,13770
08/05/2009,13877
09/05/2009,13955
10/05/2009,14040
11/05/2009,14161
12/05/2009,14291
13/05/2009,14406
14/05/2009,14547
15/05/2009,14683
16/05/2009,14802
17/05/2009,14929
18/05/2009,15047
19/05/2009,15133
20/05/2009,15253
21/05/2009,15335
22/05/2009,15396
23/05/2009,15428
24/05/2009,15528
25/05/2009,15637
26/05/2009,15762
27/05/2009,15881
28/05/2009,15976
29/05/2009,16082
30/05/2009,16191
31/05/2009,16287
01/06/2009,16359
02/06/2009,16470
03/06/2009,16541
04/06/2009,16607
05/06/2009,16637
06/06/2009,16665
07/06/2009,16681
08/06/2009,16763
09/06/2009,16854
10/06/2009,16936
11/06/2009,17025
12/06/2009,17111
13/06/2009,17189
14/06/2009,17261
15/06/2009,17345
16/06/2009,17416
17/06/2009,17495
18/06/2009,17575
19/06/2009,17662
20/06/2009,17740
21/06/2009,17821
22/06/2009,17897
23/06/2009,17973
24/06/2009,18069
25/06/2009,18137
26/06/2009,18227
27/06/2009,18311
28/06/2009,18358
29/06/2009,18442
30/06/2009,18527
01/07/2009,18601
02/07/2009,18685
03/07/2009,18767
04/07/2009,18856
05/07/2009,18935
06/07/2009,19019
07/07/2009,19088
08/07/2009,19162
09/07/2009,19248
10/07/2009,19329
11/07/2009,19412
12/07/2009,19489
13/07/2009,19567
14/07/2009,19636
15/07/2009,19681
16/07/2009,19752
17/07/2009,19799
18/07/2009,19803
19/07/2009,19873
20/07/2009,19943
21/07/2009,20025
22/07/2009,20085
23/07/2009,20161
24/07/2009,20234
25/07/2009,20266
26/07/2009,20287
27/07/2009,20361
28/07/2009,20402
29/07/2009,20422
30/07/2009,20438
31/07/2009,20455
01/08/2009,20483
02/08/2009,20506
03/08/2009,20518
04/08/2009,20599
05/08/2009,20686
06/08/2009,20776
07/08/2009,20856
08/08/2009,20936
09/08/2009,21037
10/08/2009,21112
11/08/2009,21182
12/08/2009,21245
13/08/2009,21330
14/08/2009,21393
15/08/2009,21419
16/08/2009,21438
17/08/2009,21455
18/08/2009,21465
19/08/2009,21483
20/08/2009,21505
21/08/2009,21519
22/08/2009,21526
23/08/2009,21541
24/08/2009,21556
25/08/2009,21606
26/08/2009,21655
27/08/2009,21684
28/08/2009,21759
29/08/2009,21837
30/08/2009,21934
31/08/2009,22020
01/09/2009,22098
02/09/2009,22164
03/09/2009,22225
04/09/2009,22289
05/09/2009,22365
06/09/2009,22433
07/09/2009,22511
08/09/2009,22580
09/09/2009,22634
10/09/2009,22701
11/09/2009,22768
12/09/2009,22837
