Category: All categories,,,,,,
,,,,,,
Week,bitcoin: (Worldwide),buy bitcoin: (Worldwide),,posix time,price,
2013-03-31,6,4,,1364540406,66.2083886601063,2013-03-29
2013-04-07,11,7,,1365058894,89.0161839740268,2013-04-04
2013-04-14,6,3,,1365577268,140.109532756765,2013-04-10
2013-04-21,4,2,,1366095600,91.9360185557663,2013-04-16
2013-04-28,3,2,,1366614016,88.1530468082273,2013-04-22
2013-05-05,3,1,,1367132522,116.170346209796,2013-04-28
2013-05-12,2,2,,1367650808,104.806148583297,2013-05-04
2013-05-19,2,1,,1368169403,95.9769979626289,2013-05-10
2013-05-26,2,1,,1368687637,97.8439645010086,2013-05-16
2013-06-02,2,1,,1369206159,99.6977354322716,2013-05-22
2013-06-09,2,1,,1369724404,107.476500589503,2013-05-28
2013-06-16,1,1,,1370242887,108.700068593511,2013-06-03
2013-06-23,2,1,,1370761200,100.109309358911,2013-06-09
2013-06-30,2,2,,1371279625,88.3174777822078,2013-06-15
2013-07-07,2,1,,1371798011,87.7146526130677,2013-06-21
2013-07-14,1,1,,1372316453,85.3110215598684,2013-06-27
2013-07-21,1,1,,1372834813,76.8427308226363,2013-07-03
2013-07-28,1,1,,1373353209,63.1723411129318,2013-07-09
2013-08-04,1,1,,1373871669,73.9740699255871,2013-07-15
2013-08-11,2,1,,1374390064,75.5108788837956,2013-07-21
2013-08-18,2,1,,1374908417,74.98391065588,2013-07-27
2013-08-25,2,1,,1375426865,80.3377760797608,2013-08-02
2013-09-01,1,1,,1375945224,83.1846291926939,2013-08-08
2013-09-08,1,1,,1376463621,80.7711573270467,2013-08-14
2013-09-15,1,1,,1376982182,85.1922957849275,2013-08-20
2013-09-22,1,1,,1377500627,93.3558491602069,2013-08-26
2013-09-29,2,2,,1378018855,103.0905833476,2013-09-01
2013-10-06,2,1,,1378537838,108.085445067456,2013-09-07
2013-10-13,2,1,,1379055778,104.570604049336,2013-09-13
2013-10-20,2,1,,1379574023,108.240630862578,2013-09-19
2013-10-27,5,4,,1380092419,105.889280279821,2013-09-25
2013-11-03,5,4,,1380610833,107.725802473723,2013-10-01
2013-11-10,5,5,,1381129210,102.765760526549,2013-10-07
2013-11-17,11,10,,1381647619,107.58697940617,2013-10-13
2013-11-24,14,12,,1382166005,120.33693025066,2013-10-19
2013-12-01,13,9,,1382684400,154.577056471293,2013-10-25
2013-12-08,10,6,,1383202807,164.02660365097,2013-10-31
2013-12-15,10,7,,1383724800,183.099547693299,2013-11-06
2013-12-22,7,4,,1384243200,264.180465672828,2013-11-12
2013-12-29,6,4,,1384761600,356.267554523147,2013-11-18
2014-01-05,7,4,,1385280027,572.47311371374,2013-11-24
2014-01-12,6,4,,1385798400,791.367496923779,2013-11-30
2014-01-19,7,5,,1386316822,888.600788136599,2013-12-06
2014-01-26,6,4,,1386835208,719.543598610433,2013-12-12
2014-02-02,5,4,,1387353605,687.22426939345,2013-12-18
2014-02-09,7,4,,1387872007,529.531392807908,2013-12-24
2014-02-16,6,4,,1388390403,603.020495689678,2013-12-30
2014-02-23,11,5,,1388908802,658.682362107175,2014-01-05
2014-03-02,9,4,,1389427210,736.832335367591,2014-01-11
2014-03-09,5,2,,1389945626,718.579114626775,2014-01-17
2014-03-16,4,2,,1390464007,698.741856657571,2014-01-23
2014-03-23,4,3,,1390982410,681.612521192968,2014-01-29
2014-03-30,4,2,,1391500828,690.020027028725,2014-02-04
2014-04-06,3,2,,1392019204,633.518673958098,2014-02-10
2014-04-13,3,2,,1392537623,556.876489034647,2014-02-16
2014-04-20,3,2,,1393056018,522.441349637904,2014-02-22
2014-04-27,3,2,,1393574442,486.629847193742,2014-02-28
2014-05-04,2,2,,1394092826,526.250928379942,2014-03-06
2014-05-11,2,2,,1394607600,544.028825788369,2014-03-12
2014-05-18,3,2,,1395126017,543.048176810011,2014-03-18
2014-05-25,3,2,,1395644409,500.937485897968,2014-03-24
2014-06-01,3,2,,1396162831,462.620692362535,2014-03-30
2014-06-08,3,2,,1396681361,390.571963234186,2014-04-05
2014-06-15,3,2,,1397199607,376.9267840872,2014-04-11
2014-06-22,2,2,,1397718039,391.95116577122,2014-04-17
2014-06-29,2,2,,1398236426,425.577946692836,2014-04-23
2014-07-06,2,2,,1398754813,395.058330763917,2014-04-29
2014-07-13,2,2,,1399273226,381.771276504894,2014-05-05
2014-07-20,2,2,,1399791610,378.624597783176,2014-05-11
2014-07-27,2,2,,1400310011,379.90382723182,2014-05-17
2014-08-03,2,2,,1400828417,406.877837578282,2014-05-23
2014-08-10,3,2,,1401346805,482.152639675423,2014-05-29
2014-08-17,3,2,,1401865202,537.319187579775,2014-06-04
2014-08-24,2,2,,1402383609,558.13966507498,2014-06-10
2014-08-31,2,2,,1402902008,514.417161889974,2014-06-16
2014-09-07,3,2,,1403420405,512.284409409001,2014-06-22
2014-09-14,2,2,,1403938808,498.420170707596,2014-06-28
2014-09-21,2,2,,1404457212,540.016824203914,2014-07-04
2014-09-28,2,2,,1404975601,537.190225158832,2014-07-10
2014-10-05,3,2,,1405494008,535.987927632217,2014-07-16
2014-10-12,2,2,,1406012407,533.426157716953,2014-07-22
2014-10-19,2,2,,1406530818,518.174998515527,2014-07-28
2014-10-26,2,2,,1407049201,500.022598468369,2014-08-03
2014-11-02,2,2,,1407567647,501.603400772567,2014-08-09
2014-11-09,3,2,,1408086005,482.15157027027,2014-08-15
2014-11-16,2,2,,1408604410,424.188262381767,2014-08-21
2014-11-23,2,2,,1409122807,436.202550644299,2014-08-27
2014-11-30,2,2,,1409641210,427.741943051719,2014-09-02
2014-12-07,2,2,,1410159608,410.737371840532,2014-09-08
2014-12-14,2,2,,1410678008,406.002961430768,2014-09-14
2014-12-21,3,2,,1411196408,385.142875574494,2014-09-20
2014-12-28,2,2,,1411714810,354.190264037599,2014-09-26
2015-01-04,3,2,,1412233209,333.381156013208,2014-10-02
2015-01-11,3,2,,1412751613,290.984309015383,2014-10-08
2015-01-18,2,2,,1413270013,313.987906848065,2014-10-14
2015-01-25,2,2,,1413788409,333.4901907254,2014-10-20
2015-02-01,2,2,,1414306809,316.537400528533,2014-10-26
2015-02-08,2,2,,1414825207,298.005620414173,2014-11-01
